id,title,release_date,budget,revenue,status,tagline,runtime,popularity,original_language,homepage,adult,overview,languages,production_countries,production_companies,genres
19483,It Came from Outer Space,1953-06-05,800000,1600000,Released,Fantastic sights leap out at you!,81,6.792E+00,en,,false,"Author & amateur astronomer John Putnam and schoolteacher Ellen Fields witness an enormous meteorite come down near a small town in Arizona, but Putnam becomes a local object of scorn when, after examining the object up close, he announces that it is a spacecraft, and that it is inhabited...","English,Italiano",United States of America,Universal International Pictures,"Horror,Science Fiction"
8698,The League of Extraordinary Gentlemen,2003-07-11,78000000,179265204,Released,The power of seven become a league of one.,110,1.8366E+01,en,,false,"To prevent a world war from breaking out, famous characters from Victorian literature band together to do battle against a cunning villain.","English,Deutsch,Italiano","Czech Republic,Germany,United Kingdom,United States of America","JD Productions,International Production Company,Angry Films,Mediastream Dritte Film GmbH & Co. Beteiligungs KG,20th Century Fox","Fantasy,Action,Thriller,Science Fiction"
814,An American Werewolf in London,1981-08-21,10000000,31973249,Released,Beware the Moon.,97,1.0646E+01,en,,false,Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.,English,"United Kingdom,United States of America","Universal Pictures,Guber/Peters Company,American Werewolf Inc.,Lyncanthrope Films",Horror
11976,Legend,1985-07-19,24500000,15502112,Released,There may never be another dawn.,94,1.2365E+01,en,https://www.uphe.com/movies/legend-1986,false,"Set in a timeless mythical forest inhabited by fairies, goblins, unicorns and mortals, this fantastic story follows a mystical forest dweller, chosen by fate, to undertake a heroic quest. He must save the beautiful Princess  Lili and defeat the demonic Lord of Darkness, or the world will be plunged into a never-ending ice age.","English,Italiano",United States of America,"Embassy International Pictures,Legend Production Company","Adventure,Fantasy"
142,Brokeback Mountain,2005-09-10,14000000,178043761,Released,Love is a force of nature.,134,1.6416E+01,en,http://www.brokebackmountain.com,false,"Two modern-day cowboys meet on a shepherding job in the summer of '63, the two share a raw and powerful summer together that turns into a lifelong relationship conflicting with the lives they are supposed to live.",English,"Canada,United States of America","Good Machine,Focus Features,River Road Entertainment,Alberta Film Entertainment","Drama,Romance"
10567,Dinosaur,2000-05-19,127500000,354248063,Released,You have never seen anything like this.,82,1.4018E+01,en,,false,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,English,United States of America,"Walt Disney Animation Studios,Walt Disney Pictures","Animation,Family"
9290,Crocodile Dundee in Los Angeles,2001-04-12,21150000,39438674,Released,He heard there was wildlife in L.A. He didn't know how wild.,92,1.5867E+01,en,,false,"After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick ""Crocodile"" Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life -- many of them inadvertent",English,"Australia,United States of America","Bungalow Productions,Silver Lion Films,Vision View Entertainment","Adventure,Comedy"
598,City of God,2002-02-05,3300000,30641770,Released,"If you run you're dead... if you stay, you're dead again. Period.",130,1.6914E+01,pt,http://cidadededeus.globo.com/,false,"Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiro’s most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life of various characters, all seen by the point of view of the narrator, Buscapé. Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes...",Português,Brazil,"O2 Filmes,Videofilmes,Wild Bunch,Hank Levine Film,Globo Filmes,Lumière","Drama,Crime"
29056,The Raven,1963-01-25,350000,1499275,Released,The Macabre Masterpiece of Terror!,86,7.227E+00,en,,false,A magician who has been turned into a raven turns to a former sorcerer for help in this film loosely based on the Edgar Allen Poe poem.,English,United States of America,"Alta Vista Productions,American International Pictures","Comedy,Fantasy,Horror"
24831,Piranha,1978-08-03,660000,16000000,Released,A hideous death lurked unseen in the river...,94,9.939E+00,en,,false,"When flesh-eating piranhas are accidently released into a summer resort's rivers, the guests become their next meal.",English,United States of America,"New World Pictures,Piranha Productions","Horror,Thriller,Science Fiction,Comedy"
