id,title,release_date,budget,revenue,status,tagline,runtime,popularity,original_language,homepage,adult,overview,languages,production_countries,production_companies,genres
161244,Desmundo,2002-11-08,3,3,Released,,101,8.48E-01,pt,,false,"The story of Orisbela, a young and religious woman who comes from Portugal to Brazil to marry Francisco de Albuquerque, a rude sugar-cane plantation owner, in 1570.",Português,Brazil,A.F. Cinema e Vídeo,"Drama,Romance"
159447,"Mommies, Happy New Year!",2012-12-27,2000000,11666088,Released,,90,2.077E+00,ru,,false,"A continuation of a famous Russian comedy ""Mamy"" (""Mommies"").",Pусский,Russia,Enjoy Movies,"Comedy,Drama"
63430,Ye Maaya Chesave,2010-02-26,1700000,2800000,Released,"A Different Love Story, Yet Again",162,1.644E+00,te,,false,An aspiring Hindu director falls in love with a Christian girl whose parents disapprove of their impending relationship.,తెలుగు,India,Indira Productions,"Romance,Drama"
330431,NH10,2015-03-12,200000,5100000,Released,No Turning Back,115,2.703E+00,hi,,false,"Meera and Arjun are professionals living in Gurgaon. On their way to a luxurious desert holiday they stop on a Highway dhaba for dinner, where they witness a young girl being picked up by a bunch of hoodlums. Arjun chooses to step in, unmindful of the danger ahead.",हिन्दी,India,"Eros International,Phantom Films,Clean Slate Films","Crime,Action,Drama,Thriller"
63818,Pattiyal,2006-02-17,1000000,3700000,Released,,140,1.366E+00,ta,,false,"Two contract killers, who wish to leave the crime world, are betrayed by their boss.",தமிழ்,India,SG Films,Crime
70829,The Last Godfather,2010-12-29,13400000,16700000,Released,,100,1.592E+00,ko,http://www.lastgodfathermovie.com/,false,"Young-goo the son of mafia boss Don Carini, is too foolish to be part of the mafia elite. One day, Young-goo comes to his father and is trained by Tony V to be his father's successor. A few days later, Young-goo accidentally rescues Nancy, the only daughter of Don Bonfante, the boss of a rival mafia family. But Vinnie, an under-boss of the Bonfante family kidnapped her and fabricates that Young-goo has taken her. Vinnie's behavior provokes an armed conflict between the two families.",한국어/조선말,South Korea,,"Action,Comedy,Thriller"
140896,Son of Sardaar,2012-11-13,4300000,2200000,Released,,141,1.991E+00,hi,,false,"A guest tries to stay inside the house of a man who can't kill him unless he's outside, because of believing guest to be equal to God.",हिन्दी,,"Ajay Devgn Films,Viacom 18 Motion Pictures","Comedy,Action"
233308,A Gambler's Story,2001-10-11,12500000,123021750,Released,,94,8.23E-01,zh,,false,"Suki is a very devoted gambler. Whenever he goes to Macau, he buys a return ticket in advance, just in case he loses all his money. After breaking up with his girlfriend Cher, who couldn't bear his gambling anymore, Suki meets a girl called Princess Fragrance at a karaoke bar. They later meet again in Macau, both in the hands of a loan shark Brother Face, who threatens to kill them if they don't pay off their debts…",广州话 / 廣州話,Hong Kong,Beijing Jinyinma Movie & TV Culture Co.,"Comedy,Drama"
66224,Veyyil,2006-12-09,700000,11000000,Released,,145,1.322E+00,ta,,false,"Story of two brothers told from the perspective of older brother who recalls his childhood memories where he runs away from home and returns after 20 years. The rest of the film is all about mental turmoil, as he is caught between the deep love showered by his younger brother who runs a successful advertising agency and his guilt of not being a responsible son or elder brother.",தமிழ்,,S Pictures,Drama
398385,Birds of Passage,2001-05-27,2500000,11000000,Released,A Quest for freedom in the South China sea.,115,8.08E-01,en,,false,"A quest for freedom in the South China Sea.  Victims of China’s “One-Child” policy,  100 orphans, all girls, are shepherded by a determined activist, Mrs. Brown (Charlotte De Turckheim) onto a tramp freighter for a harrowing escape from the Chinese authorities.",,,"RSVP Film Studios,Adventure Film Productions,First Preferred Communications,Les Films de Triangles","Drama,Adventure,Thriller,Action,Crime"
31458,Rann,2010-01-01,7500000,2000000,Released,Truth Is Terrible,145,1.561E+00,hi,,false,The revered chief of a news agency tries to maintain journalistic integrity as his bureau and a rival agency vie for viewers following a terrorist attack.,हिन्दी,India,"Cinergy Pictures,Viacom 18 Motion Pictures,Vistaar Religare Film Fund","Drama,Thriller"
119123,Aaranya Kaandam,2011-06-10,780000,1040344,Released,,153,1.802E+00,ta,,false,A drama that unfolds between two rival mafia gang on a single day when a bag of cocaine gets stolen by two innocent people.,தமிழ்,India,Capital Film Works,"Comedy,Action,Crime,Drama"
348672,About Endlessness,2019-11-15,4700000,18666,Released,,76,2.717E+00,sv,,false,"Inspired by “One Thousand and One Nights,” the celebrated collection of Middle Eastern and Indian folk tales, “About Endlessness,” in its juxtaposition of tableaux capturing moments in life, explores the preciousness and beauty of our existence, awakening in us the wish to maintain this eternal treasure and pass it on.",svenska,"France,Sweden,Germany,Norway","Roy Andersson Filmproduktion AB,4½,Essential Filmproduktion,Société Parisienne de Production,ARTE France Cinéma","Drama,Comedy"
